date,company,title,label
2021.11.03,카카오페이,카카오페이 오늘 상장 카카오패밀리 흥행 계보 이을까카카오페이 역시 뜨거웠다따상 은 못갔지만 카카오페이 한때 시총 13위류영준 카카오페이 대표 전 국민 생활 금융 플랫폼으로 도약카카오페이 역시 뜨거웠다따상 은 못갔지만 카카오페이 한때 시총 13위카카오페이 화려한 데뷔 와 함께 카카오뱅크 급락카카오 브레이크 없는 인수합병 3개월간 계열사 14곳 신규편입대기업 계열사 석달새 52개 증가 카카오 신규편입 14개로 최다대기업집단 계열사 석달 새 52개 늘어바짝 다가온 마이데이터 시대 핵심 전략 미리본다자영업자 돕는 줄 알았어요 중고사기 연루 여고생의 후회,2.0
2021.11.04,카카오페이,카카오페이 공모가 2배 넘어 카카오그룹 시총 116조원 재계 5위카카오페이 코스피 성공적 데뷔 시총 13위 등극카카오페이 시총 25조 KB금융 넘어따상 은 못했어도 카카오페이 상장 첫날 선방어 카카오페이 매도가 왜 안 되지 거래소 회선 또 말썽카카오페이 상장 첫날 시총 13위 등극 따상 실패에도 KB금융 따돌렸다카카오페이 세 번 도전 끝 코스피 안착 공모가 2배 웃돌아공격 확장 하는 카카오페이 마이데이터 MTS 보험 사업에 대규모 투자대세는 MTS MZ들 주식거래 판까지 뒤집었다대형 공모주 상장 첫날 또 증권사 거래시스템 일시 먹통시련의 계절 끝났나 카겜 카뱅 반등 시동 걸었다대형 공모주 상장 첫날 또 증권사 거래시스템 일시 먹통시련의 계절 끝났나 카겜 카뱅 반등 시동 걸었다모빌리티 3파전 핀테크로 확전다시 무너진 삼천피신작 리니지W 오늘부터 글로벌 오픈 엔씨소프트 옛 명성 회복 사활 건 게임골드만삭스 서울지점 인사 이석용 박지은 본부장 승진실적의 힘 Z홀딩스 급등 라인과 시너지는 아직카카오페이 상장 첫날 단숨에 시총 13위 금융주 2위 올라하반기 IPO 최대어 카카오페이 코스피 성공적 데뷔몸집 불린 카카오 카카오뱅크 카카오페이 카카오게임즈 한지붕 시총 전쟁카카오페이 상장 첫날 공모가 2배 19만3000원 찍었다카카오 3분기 역대 최대 실적 시장 전망치엔 못 미쳐뱅크냐 페이냐 집안싸움 된 카카오금융 시총 경쟁카카오그룹 단숨에 시총 넘버5 내년엔 몸집 더 불린다카카오 최대 실적에도 표정관리 상생 또 상생 강조했다카카오 3분기 역대 최대 실적 네이버도 넘어섰다 종합카카오 또 또 최대실적 여민수 카카오T 이용자 3000만명네이버 출신 김범수가 15년 만에 네이버를 제쳤다 종합미래 가불해 오늘만 살자는 건가,0.0
2021.11.05,카카오페이,상장 이틀째 카카오페이 12%대 하락 시총 18위로 털썩콘텐츠 날개 단 카카오 네이버도 제쳤다카카오페이 상장 이틀만에 주르륵오버행 우려 현실로 카카오페이 상장 둘째날 급락카카오 처음으로 네이버 제쳤다플랫폼 규제 딛고 네이버 제친 카카오 게임 웹툰 고공행진전방위 대출규제 불똥 수입 쪼그라든 핀테크카카오그룹 엇갈린 시총 희비카카오 자산 시가총액 이어 매출도 네이버 제쳤다3분기 135억 더 팔았다 카카오 네이버 첫 추월디어유 지오엘리먼트 다음주 알짜 새내기 기대되네,1.0
2021.11.07,카카오페이,은행 1% 후반대 예금 속속 등장 저축 은 2%대 상품 다양오픈뱅킹 불참 카카오페이증권 사용자 불편 가중카카오페이에 대형 금융지주도 참전 손해보험 지각판 출렁분위기 달라졌다 카카오에 다시 찬사 보내는 증권가 이유는디카르고 유통량 조작설 논란에 시세 폭락 업비트 소명하라,0.0
2021.11.08,카카오페이,두달새 조 판 연기금 콘텐츠 는 담았다IPO 증시 호황에 IB 수익률도 쑥쑥 NH 한투 이어 삼성도 영업익 1조엔씨 리니지W 사흘만에 매출 1위 기염자산가 대출도 틀어막는다 금융당국 금소법 엄격 적용은행 플랫폼 경쟁 본격화하나 당국 규제완화 예고카드론 규제에 수수료 인하 내년 영업이익 3분의 1 감소카드론 규제에 수수료 인하 내년 영업이익 3분의 1 감소마윈 카카오페이 상장 날 8조원 벌었다 인도서 대박시장 우려 날려버린 카카오페이의 힘 플랫폼양극화에 IPO 불패신화 흔들당정 카드 수수료 인하 추진에 카드 노조 실적 악화 반발금융권 고객잡기 아이디어 비대면 간편함에 꽂혔다,0.0
2021.11.09,카카오페이,잘 나가던 카카오 고밸류 선거 벽 부딪혔나더 쉽게 더 빠르게 7천조원 시장 놓고 세계는 페이전쟁줄줄이 상장철회 옥석가리기 본격화LG엔솔부터 현대엔지까지 내년 수조원대 상장 예고물량 앞에 장사없다 증시 나는데 코스피 내리막카카오페이 주가 % 급락 시총 금융주 3위로 밀려보호예수 잠금장치 풀리자 카카오뱅크 주가 급락유동성 봄날 끝 IPO 잔치도 끝났다기울어진 운동장 놓인 카드사 수수료율 0%인데 더 내린다고빅테크 틈새 보험사 보장분석 강화연말 짠테크족 잡아라 저축은행 금리 릴레이 인상,1.0
2021.11.10,카카오페이,서울사랑상품권 운영사업자 공모 카카오 네이버 등 군침엔터주 테마탄 디어유 오늘 상장 따상 가나,0.0
2021.11.11,카카오페이,카카오페이 거래액 매출 3분기만에 작년 넘어 비용 증가에 적자카카오페이 3분기 거래액 매출 쑥카카오페이 3분기 누적 거래액 72조원 돌파 54% 증가카카오페이 3분기 매출액 1149억 전년 48% 증가 누적 3312억HMM 영업익 조 분기 최대 셀트리온 악몽의 성적표오리온 제품 가격 동결에도 호실적3주 앞둔 마이데이터 빨간불카카오페이 알리페이 지분 늑장신고 상장시 제출 거짓 해명카카오페이 3분기 매출 1149억 2020년 동기 대비 48% 증가상장 후 첫 성적표 카카오금융 페이는 적자 뱅크는 최대 순익공모주 열풍 타고 올해 새내기주 수익률도 양호,2.0
2021.11.12,카카오페이,상장 후 첫 실적이 적자 또 주저앉은 카카오페이신작기대에 NHN 한달새 41% 올라상장 전 유보금 나눠먹기 땐 제동 과도한 대주주 사익추구 걸러낸다위메이드 하이브 주가 껑충 게임 콘텐츠 ETF도 씽씽,2.0
2021.11.13,카카오페이,아마존 구글 주식 카카오페이로 1000원어치부터 산다인터넷쇼핑몰서 주식 상품권 구매 가능 해외주식 소수점 매매 이달 시작대출 늘고 금리 올라 역대급 실적 4대 금융지주 날갯짓,1.0
2021.11.14,카카오페이,소문난 잔치 공모주 아직 먹을 것 있다따상 주춤에도 올해 IPO 공모액 20조 돌파 내년 출격하는 대어급은IPO 공모액 20조 넘었다역대급 대어 쏟아진 올해 IPO 공모액 20조원 넘었다NFT로 난리난 K 게임 게임 잘하면 돈도 번다는데 진짜로,1.0
2021.11.15,카카오페이,류영준 카카오페이 대표 우여곡절 끝 코스피 상장 금융 플랫폼으로 입지 다질것 인터뷰끝날 때까지 끝나지 않은 올해 IPO 내년에도 계속NFT 메타버스 열풍에 외국인 기관 몰리는 게임주핀테크 육성엔 동의하지만 동일규제 원칙 소비자 보호 위해 필요신용카드처럼 네이버 쿠팡페이도 규제할까SK바사 카뱅 등 대어급 많았다 올해 IPO 공모액 20조원 돌파해외주식 소수점 거래 20곳서 이르면 이달중 서비스%라도 낮은금리 찾아라상생소비지원금 지급시작 간편결제 통한 대형마트 결제액 다음달 뱉어내야상생소비지원금 지급시작 간편결제 통한 대형마트 결제액 다음달 뱉어내야약속의 11월 외국인 돌아올까올해 IPO 공모액 20조 넘어 9월후 따상 은 2곳뿐가이드라인 개정만 7번 금융권 내년 1월 마이데이터 서비스 버겁다,1.0
2021.11.16,카카오페이,정보보호 허술 네이버파이낸셜 금감원 조사서 첫 제재대출금리 개입 어렵다면서 카드 수수료는 통제하는 정부캐시백 10만원 받을줄 알았는데 통장보고 깜짝 놀랐다카드 노조 빅테크 배만 불리는 적격비용 재산정 폐지하라외인 기관 반도체 개인은 바이오 배터리 담았다카드 노조 빅테크 배만 불리는 적격비용 재산정 폐지하라해외주식 소수점 거래 본격화외인 기관 반도체 개인은 바이오 배터리 담았다상생소비지원금 10월분 캐시백 어제 지급급증한 유상증자 역대급 IPO 주식 공급 쌓이네 수급 불안한 증시이르면 이달 테슬라도 1만원어치 거래 가능내달 마이데이터 시범시행 미성년자에도 문 열린다제13회 스마트금융콘퍼런스 마이데이터 모든 정보 한자리에,1.0
2021.11.17,카카오페이,메리츠금융 카카오페이 내달 코스피 200 편입 기대네이버파이낸셜도 망분리 과태료 제도 개선 시급10만원 캐시백 다시 토해내라 오락가락 정책에 부글부글젊은 감각 결단력으로 무장 네이버 40대 CEO가 온다 네이버 이끌 새 수장은시대 역행하는 망분리 규제달아오른 후불결제 시장 도 춘추전국시대 진입급락해서 팔았는데 3배 급등 IPO 종목 다시 올라탈까 전문가 조언은소비지원금 캐시백 대상 분류 잘못해 10만원 줬다 뺏는다캐피탈 덕에 지방지주 화려한 부활한국 스타트업들 유니콘에 도전하라 우리가 도와줄게거듭된 빅테크 망분리 위반 내 선불충전금은 안전,1.0
2021.11.18,카카오페이,카카오페이 현대 코스피200 편입 기대고승범 카드 수수료 인하 여러 의견들어 결정할 것 상보서울사랑상품권 플랫폼 내년 나온다카카오페이 생체인증 국제표준 FIDO2 인증 획득,2.0
2021.11.19,카카오페이,카카오페이 코스피200 편입 불확실 알리페이 지분이 관건시총은 OK 알리페이 지분이 관건 카카오페이 코스피200 편입 주목카카오그룹주 담는 연기금 빅테크 규제보다 성장에 베팅금융 유목민 시대 데이터 분석력 승부처코스피 짓누르는 대규모 IPO 시총 늘어도 지수는 안오른다데이터 개방 공유 활용 현재와 미래 잇는다제13회 스마트금융 콘퍼런스증시 몰린 동학개미 국민주 올해 7개로 늘었다화장품 위드코로나 화장발 안받네 목표가 줄하향,2.0
2021.11.21,카카오페이,1조원 규모 서울사랑상품권 신한 카카오페이 vs 우리 KT 경합,2.0
2021.11.22,카카오페이,유재석 효과 카카오엔터 장외가 52만원 매물 잠겼다뮤직카우 몸값 1조 핀테크 혁명 시즌2IB부문 적극투자 IPO 일류 입지 굳힐 것테슬라 주 주세요 해외 소수점거래 본격 스타트못해도 연 5 6% 따박따박 최고 배당맛집 은 대신증권똑똑 들어가도 될까요 전 세계 IPO 역대 최대 700조원 당겼다,1.0
2021.11.23,카카오페이,국민은행 Z세대 플랫폼 출시 카카오뱅크 미니에 도전장집토끼 저물고 유목민 시대 온다 새 전략 책임 필요카카오페이 IPO 영향 주식 발행 전월보다 22% 증가카카오페이 보험사 이달 본허가 신청 대리기사 자율주행 등 모빌리티 상품 공략,2.0
2021.11.24,카카오페이,올 코스피 IPO 공모액 17조 사상 최대올 기업공개 사상최대 10월까지 14조마이데이터 참전율 높이는 보험사 실속은거래소 올해 코스피 IPO 공모금액 기업시총 역대 최대규제 중심 정책에 핀테크 후진국 전락 위기류영준 갈 길 먼 핀테크 규제보다 육성에 집중해야올 기업공개 사상최대 10월까지 14조마이데이터 참전율 높이는 보험사 실속은류영준 핀테크산업협회장 전금법에서 종지업이 최우선 아니다,0.0
2021.11.25,카카오페이,확 바뀌는 서울사랑상품권 카카오페이로도 쓴다카카오페이 현대 등 코스피200 신규 편입구독료 10% 클레이로 페이백핀테크 순위 8계단 떨어진 편리함 막는 과다한 규제가 발목서울사랑상품권 카드결제 가능해진다BBIG 성장에 코스피 IPO 공모 시총 조 역대최대빅테크 종합지급결제 허용보다 전금법 개정안 빠른 통과가 우선BBIG 성장에 코스피 IPO 공모 시총 조 역대최대코스피 신규 상장사 10년만에 최대 17 조달했다서울사랑상품권 판매대행 신한컨소시엄 선정빅테크 종합지급결제 허용보다 전금법 개정안 빠른 통과가 우선보이스톡 카카오페이 성공시킨 개발자 카카오 공동 대표로코스피200 정기변경 최대 수혜주는 카카오페이올해의 K 모바일 스타 수퍼빈 네프론 비대면 ESG 읽었다코스피200 정기변경 최대 수혜주는 카카오페이올해의 K 모바일 스타 수퍼빈 네프론 비대면 ESG 읽었다,0.0
2021.11.26,카카오페이,카카오페이 신원근 신임 대표이사 내정자카카오 새 대표에 류영준 여민수와 투톱카카오페이 메리츠화재잇단 호재에 연기금 사자 카카오페이 급등카카오 4형제 에 꽂힌 외인 하루 1 900억 순매수빅테크 뛰어든 보험업계 기울어진 운동장 바로잡는다재계 세대교체 거센 바람카카오 4형제 에 꽂힌 외인 하루 1 900억 순매수재계 세대교체 거센 바람개발자 출신 류 CEO 합류 소셜 임팩트 탄력 붙는다금융실적없는 1200만명 잡아라 빅테크 전쟁빅테크 뛰어든 보험업계 기울어진 운동장 바로잡는다소강 상태 접어든 IPO 시장 공모주 펀드 자금 썰물LG엔솔 현대ENG 내년 역대급 IPO 시장 열린다금리인상에도 되레 떨어진 금융주카카오페이 신원근 대표 체제로카카오페이 18% 오르며 20만원 첫돌파카카오 형제들에 끼인 셀트리온코스피200 편입한 카카오페이 KB금융 제치고 금융 2대장 등극카카오 여민수 류영준 공동대표 체제로카카오 새 대표에 40대 류영준 여민수와 투톱체제서울시 서울사랑상품권사업 골목상권 침해 우려LG 롯데그룹 혁신 주도할 세대교체 인사 시동,1.0
2021.11.27,카카오페이,증시도 불안불안 하루새 코스피 하락 상품 에 1600억 뭉칫돈공대오빠 류영준 카카오페이에서 카카오로 페이가 그룹중심,1.0
2021.11.28,카카오페이,결제도 헤게모니 쥔 카카오 2년 후엔 시장 지배 우려내년 5000억원 발행되는 서울사랑상품권 앱도 바뀌고 결제도 바뀌고,1.0
2021.11.29,카카오페이,뉴페이스 최수연 vs 11년 토박이 류영준 신사업 시험대 오른 네이버네카오의 뉴리더십 3대 과제는 비즈니스모델 강화 글로벌 M A 빅테크 규제 대응잔돈 모아 종잣돈 키워주는 간편결제 앱 체크카드새 서울사랑상품권 공공성 뒤에서 수익성만 챙기나네이버 카카오 현금자산 20% 상승인뱅 중저신용자 비중 20% 벽 넘을까한정판 케익 예약해 크리스마스 즐겨볼까목돈 없는 초보자 공모주 아파트 청약 도전하라,0.0
2021.11.30,카카오페이,카카오 무섭네 카뱅 페이 시총 4대 금융지주 넘어섰다라이언이 알려주는 보험 지식 내년 카카오페이 손보 나온다MZ세대 잡겠다 삼성생명 토스와 동맹보험업계 1위 삼성생명 토스와 제휴 토스에서 보험 가입 가능해진다오미크론 패닉셀에도 코스피 2900 지켰다 2주 뒤가 관건뉴 삼성 핵심 성과 수평 급변하는 경영환경 대응증권 신탁 리츠 안 가리고 판교빌딩 제발 저희한테 파세요오미크론 패닉셀에도 코스피 2900 지켰다 2주 뒤가 관건당구의 신 30개팀 명승부내달 10일 디지털금융 포럼 2021 웨비나시장친화적 금융감독개미 위축에 키움증권 10만원도 위태개미 위축에 키움증권 10만원도 위태달러예금 환차익 세금 안떼 공격투자 원한다면 달러ETF,2.0
2021.12.01,카카오페이,카카오그룹 LG 현대차 제치고 시총 3위 등극12월 1일부터 17개 금융사 마이데이터 시범 서비스지역화폐 취지 제대로 지키려면흩어진 정보 모아 맞춤 재테크 마이데이터 서비스 시작따상 은 없어도 11월 상장 새내기주 성적표 나쁘지 않네증시 때린 오미크론 공포 코스피 70P 폭락올해 상승분 싹다 반납한 코스피 증권가 2790이 1차 지지선베일 벗은 내 손의 금융비서 금융사vs빅테크 고객 선점 사활베일 벗은 내 손의 금융비서 금융사vs빅테크 고객 선점 사활이 구역 1인자 나야 금융권 vs 빅테크보이스톡 신화 개발자 출신 CEO 혁신 DNA로 글로벌 카카오 도약카카오 미래센터장에 남궁훈 게임즈 대표글로벌 투자받은 피플펀드 골드만삭스 등서 759억원 유치가상자산 조회 카드 과소비 땐 경고음정치후원금 기부도 정치 참여모더나 CEO 기존 백신 효과 적을 것 한마디에 코스피 급락,2.0
2021.12.02,카카오페이,빅테크에 맞서 싸우자 카드사 페이앱 호환비대면 서비스 강화하는 HUG 네이버 카카오서 보증 상담마이데이터 첫발 증권사 은행 카드 플랫폼 차별화 불붙는다P2P금융기업 피플펀드 베인 등서 759억 투자유치카카오페이 금융위에 디지털 손보사 본인가 신청카카오페이 당국에 디지털손보사 본인가 신청보험업 진출 카카오페이 내년 초 디지털손보사 출범제로페이까지 먹는 카카오 40만 가맹점 정보 가져간다내년 빅테크 보험사 출범 눈앞내년 지역화폐 발행 증액 기대감 수혜주 주가 반등희망2022 나눔캠페인,0.0
2021.12.03,카카오페이,서울사랑상품권 결제 제로페이에서 카카오페이로 바뀐다는데마이데이터 서비스 참 편한데 아직 안 되는 게 많네업비트 국내 회원수 890만명 국내 최대 투자자보호 센터 운영카카오페이 디지털 손해보험사 본인가 신청 내년초 출범 드라이브월 매출 1000만 원인데 수입은 200만 원분할상장 SK텔레콤 스퀘어 상승 탄력 카카오페이도 화제가족명의 도용해 현금 빼가고 대출 핀테크 비대면 본인확인 문제 노출핀테크의 도발은 계속 돼야한다요즘 핫한 NFT 잘 아시나요 사실 모릅니다서로 다른 마이데이터 전략 문 여는 카드사 벽 치는 은행잘 고른 신카 하나 열 구독 거뜬하죠,0.0
2021.12.04,카카오페이,고래 메기 보험판 흔들 카카오손보 온다,0.0
2021.12.05,카카오페이,11월 새내기 75% 12월 둘째주 오토엔 KTB네트워크 출격고승범 금융위원장 디지털 금융혁신 전략 마련 동일기능 동일규제 원칙은 고수,1.0
2021.12.06,카카오페이,이번엔 헬스케어 빅테크 행보에 보험업계 긴장정부는 코인에 권력을 넘겨줄까11월 코스피 지지부진 상장 새내기는 수익률 70%카카오페이 토스 등 투자 막힌 온투업계 각자도생 나섰다카카오 가상자산 플랫폼 품는다시동 건 카카오만의 유니버스 구축IPO시장 찬바람 그래도 눈 여겨봐야 할 공모주는세자릿수 채용 나서는 당근마켓 적자 지속에도 업계 최고 대우새싹 고객을 잡아라 은행권 타깃 마케팅 경쟁 치열 마이머니,1.0
2021.12.07,카카오페이,역대 최다 기업공개 남의 일 부산은 코스닥에 달랑 1곳외국인의 귀환 판가름할 네 마녀의 날동료 데려오면 500만원 주3일만 회사 오세요 은행들 개발자 파격대우카톡 토스처럼 보험사들 디지털 전환 속도MZ 비금융 진출은 생존과제 은행 플랫폼 격전장 된 대학1회 인증에 내 모든 금융정보 확인 6개 시중 등 17개 금융사 참여국내 첫 돈 버는 게임 에 15만명 몰렸다 기존게임 질려서30대 그룹 최연소 임원은 88년생 69년생 이하 절반 육박프로젝트 실무 보고 뽑자 IT기업 신개념 공채 바람,0.0
2021.12.08,카카오페이,권형택 주택도시보증 사장 수년간 전세살이 서민들 고충 잘 알죠LG에너지솔루션 희망공모가 만 30만원계좌번호 없이 QR 송금 O2O 플랫폼 돈냥이코스피200 새 종목 대차잔액 쑥 커지는 공매도 우려,1.0
2021.12.09,카카오페이,카카오페이 비즈니스 매출 관리 멤버십 무료 제공당국 출신 줄줄이 디지털 금융사로 규제 대응은 누가갤Z 플립3가 3만원 폰파라치 공백 현실화카카오페이 김대홍 이승효 공동대표로카카오페이 서울사랑상품권에도 통할까유니콘 고공 행진을 보는 다른 시선핀테크 업계 비교 추천 서비스 규제 풀어달라 성토서울 중구 2021년 하반기 자동차세 부과나눔은 사회백신 온정 넘치는 연말SK바사 공모가 대비 261% 상승 전 세계 IPO 1위,1.0
