title,Label
엔씨소프트 새해 유연근무제 도입 돌맞이가 몸값 1조 글로벌 우량아 4년새 10배 동원산업 휠라코리아 생큐 트럼프 블룸버그 리그테이블 2017 IPO 시장 미래에셋대우 독무대로 마무리 2018 신년기획 게임 콘텐츠 산업전망 게임업계 해외진출 신기술 IP로 성장페달 올해 투자 유망종목 1위 삼성전자 CJ E M 업종은 바이오 네이버 카카오에 시무식 신년사가 없는 이유 사드 해빙 IT 소비주 약진 코스피 2800 훌쩍 넘을 것,1
알짜 게임사 카카오게임즈 상장 속도낸다 제27회 다산금융상 한국투자증권 ROE 12% 넘어 초대형 IB 가운데 1위 지난해 투심 홀린 종목 1위는 신라젠 PC게임 위에 모바일게임 올 매출 5조시대 열린다 기자수첩 엔씨의 유연근무제 도입 새해 게임업계의 화두 되길,0
경영 비상 카드사들 빅데이터 사업 가속도 무술년 벽두부터 모바일게임 도그파이트 국내시장 포화 게임 빅3 해외시장 개척 공격 행보 대어급 줄줄이 출격 IPO 사상 최대 큰장 선다,0
초반 분위기 좋은 NH IPO 선두탈환하나 게임 빅3 대항마로 떠오른 카카오게임즈 OCI 태양광 수요에 주가 탄력 넷마블게임즈 공매도 몸살,1
양도세 회피 매물 쏟아낸 큰손 돌아오나 한중FTA 후속협상 공청회 곳곳 서비스 장막 엔터 등 149개 빗장도 열어야 K게임 수출 역군 으로 부상했지만 국내선 여전히 사회악 낙인 연초부터 시들시들해진 게임 크런치 모드 시달리는 게임업계 유연근무제 통할까,1
선두다툼 치열한 게임업계 빅3 시장이 승부처 세계 파괴하려는 악당들과 맞서는 영웅들의 고군분투기 덩치 키웠지만 여전히 폭풍우 속 선장 바꾸는 게임업계,1
외인 기관 게임는 팔자 올 넷마블 엔씨등 순매도,1
넷마블 나눔문화 확산 사회공헌재단 만든다 CES 효과 에 IT 강세 4차산업혁명 펀드 탄력,1
엔씨 넷마블 단일게임 매출 1조시대 넷마블 스타워즈 포스아레나 유저 650만 돌파,1
리니지 형제 흥행 덕봤다 구글플레이 게임분야 매출 조 이슈분석 모바일 MMORPG 2강에 도전하는 제후국 사설 단일게임 매출1조시대 규제 풀어야 지속가능하다 리니지 업고 구글플레이 작년 매출 역대 최고치 이태현 엔터메이트 대표 상반기 신작 대거 출시 흑자전환 자신 라이언 전무 의 힘 카카오게임즈 국내 게임시장 체인저 되나 가전 방송 게임에 이어 동요 까지 베끼기 나선,1
구글 앱마켓 매출 3조원 돌파 NHN엔터 코딩 잘 못해도 기초 탄탄하면 채용 통신 산업 코딩부터 수학 과학 교육 어린이 창의성 키우는 게임업계 게임짓는 사람들 유행보단 재밌게 즐기는 게임 제작이 원칙이죠 스팀 올라탄 게임 잘나가네,1
마블 게임 슈퍼 히어로 된 케이팝 스타 게임업계 빅3 조직개편 백영훈 넷마블 부사장 공동대표로 모바일 게임 주축 일본시장 공략 본격화 게임산업 사람이 곧 경쟁력인데 중소형사 제작 개발인력 태부족 게임업계 빅3 조직개편 이정헌 넥슨 부사장 신임대표로 e스포츠 사업 키워 새 수익원 발굴 주력 국내산 게임 1년째 진출 제로 빗장 장기화에 업계 골머리 게임업계 빅3 조직개편 김택진 엔씨소프트 대표 CCO 맡아,1
거래소 투자하고 채굴사업 가상화폐에 승부 거는 게임업체 리니지 형제에 세계가 반했다 CLSA CJ E M 팔아라 CJ오쇼핑 E M 동반 급락 숨 고르던 대형 게임주 반등할까 게임 웹툰 영상 카카오 3대 콘텐츠분야 M A 군침,1
10년 만에 온 호재인데 1년째 막힌 게임 수출길 4차산업혁명 펀드 신토불이 국내투자로 U턴 스타즈IR NH투자증권 WM IPO 강자 입지 구축 실적 기대감 쑥쑥,1
넷마블 미국 이어 일본서 성장동력 찾는다 MSCI 세제개편안 증시에 부정적 증시 영향은 게임사 가상화폐 베팅 될까 될까 게임짓는 사람들 대사 한마디까지 꼼꼼히 검수 문제없이 출시 땐 보람 넷마블 넷마블문화재단 출범 인재 키우고 게임 가치확대 넷마블문화재단 출범 보수 진보 원투펀치 넥슨 PC 모바일 두토끼 사냥 마켓인사이트 IB업계 최고 파워맨은 정영채 NH증권 IB 대표 미래기업포커스 카카오게임즈 한국게임 새로운 허리가 되다 풀리지않는 사드 게임 빅2 실적 주춤 한국게임 신규 허가 제로 여전히 꽉 막힌 중국 수출길,1
넷마블 사회공헌 강화 비영리 문화재단 출범 넷마블문화재단 출범 방준혁 의장 건강한 게임문화 확산 앞장 넷마블문화재단 출범 사회공헌 앞장 Law Biz 대어 넷마블 ING생명 맡아 이정훈 IPO 자문 최강자 등극 셀트리온 주가 흐름 기관 매수 타이밍에 달렸다 배보다 배꼽이 더 큰 비운의 우량주 Culture Essence 21세기 대한민국 워라밸 의 갈림길에 서다 방준혁 의장 넷마블 나눔철학 사회에 환원할 것,1
서울대 카이스트가 K게임 1세대 이젠 끼있는 개발자 전성시대 셧다운 규제 전화위복 모바일로 세계 우뚝 중국의 ICT 역습과 무기력한 한국,1
세계게임 석권한 개발자 3 시작부터 글로벌무대 겨냥했다 최고 찍은 코스피 주가는 차별화 장세 NH 인수금융 작년 랜드마크 딜 싹쓸이 NH 부문에서 최상위권 차지 토종 IB 자존심 한국투자 IPO 증자 회사채 SF 최상위 실적 IB 전방위 활약 한국투자 NH 불확실성 속 빛난 IB명가 코스피 또 사상 최고치 뚫었다 코스피 2574 사상최고 코스닥은 910선 안착,2
작년만큼 IPO활황 기대 크지만 분위기에 휩쓸리면 안돼 캐나다 수상 넷마블 방문 경쟁력 확대 방안 논의 국내 모바일게임 시장에 거센 마블 돌풍,1
넷마블 ING생명 등 대어 잇단 상장 작년 IPO 8조 2010년 이후 최대 코스닥 새내기 투자 쏠쏠하네 2017년 기업공개 규모 8조 7년래 최대 증시로 몰리는 돈 개미 빚내서 투자 사상최대 10개 중 6개 마이너스 넥슨 듀랑고 접속 장애 불구 리니지 꺾고 주간사용시간 1위 작년 기업공개시장 코스닥이 주도 8조원 공모 7년만에 최대,1
장 마감 후 기업공시 1월 30일 신규상장사 덩치는 커졌는데 주가 성장은 신통치 않네 주가 오르니 공매도 기승 코스닥 바이오에 집중 KRX300 등장에 기관 지수 갈아타기 상승장 발목 잡나 이번주 주5일 다음주 주3일 이런 탄력근무 봤어 청소년이 만든 PC VR 게임 등 19점 전시,1
필살기로 40% 성장 한국게임 올해도 이 악문다 레볼루션 등 히트 세계적 게임회사로 잘나가는 한국앱 넷마블 작년 앱마켓 매출 3위 베르트랑 슈밋 한국은 게임앱 강자 쇼핑앱도 급성장할것 힘빠진 게임 KRX300 신작 약발 기대 넷마블 엔씨소프트 앱시장 수익 견인 제2의 배그 나오려면 실패땐 끝장인 게임업계 생태계 바꿔야 시총 70조 시장이 인정한 게임사들 현금 10조 M A로 글로벌무대 공략 문화재 지킴이 소통 도우미 게임업계 특별한 사회공헌 눈길,1
작년 유상증자 전년 20% 감소 코스피사 자금조달 규모는 늘어 듀랑고 돌풍 넥슨 모바일 게임차트 싹쓸이 게임 글로벌 모바일 앱시장 휩쓸어 게임 빅3 국내시장 점유율 50% 첫 돌파 게임 맞수 열전 넷마블 모두의마블 vs 카카오 프렌즈마블 경제 알지 못해도 쉬워요 액면가 환산 시 네이버 923만원 삼성 249만원 연간 수백명 채용 신진게임사 업계 일자리 중심으로,1
평창동계올림픽 KRX300 이슈에 주목하라 올초 매도한 종목 평균상승률 20% 또 엇박자 낸 개인 한숨 넥슨 넷마블 엔씨 2조클럽 등극 눈앞,0
배경준 대표 놀면서 배우는 영유아 코딩 방탄소년단 게임속으로 넷마블 글로벌 콘텐츠 만든다 현금 10조 쌓아둔 국내 IT 빅5 글로벌로 눈 돌린다 5G 비용 증가 약정할인 때문에 KT 영업익 뒷걸음 신작에 목마른 게임 진출 호재로 생기 도나 빅3 게임사 올해도 깜짝실적 이어간다 프렌즈마블 흥행 기세 잇는다 카카오 프렌즈IP게임 4종 출시,0
방준혁 넷마블 의장 인공지능 게임 개발 알립니다 28일 MBN Y포럼서 영웅들 만나보세요 장마감 후 기업공시 2월6일 인기게임 차트 속속 진입 중견게임사 약진 한국 게임사 연매출 2 시대 호실적 컴투스 증권사 목표가 잇단 상향 최대실적 발표한 날 경계령 내린 방준혁 넷마블 연매출 2 방준혁 BTS 앞세워 글로벌 공략 종합 넷마블 국내 게임업계 1위 예약 장마감 후 기업공시 2월6일 한국 게임사 연매출 2 시대 호실적 컴투스 증권사 목표가 잇단 상향 진격의 넷마블 5년새 매출 10배 사상 첫 2 돌파 인기게임 차트 속속 진입 중견게임사 약진,0
리니지의 힘 엔씨 매출 조 1조 넘어 2조 클럽 눈앞 빅4 도약 나서는 카카오게임즈 개발 자회사 프렌즈게임즈 출범 리니지 로 대박난 넷마블 엔씨 작년 매출 수익 비교했더니 2차전지 공포심리에 유독 부진,1
모바일게임 승부수 통했다 넷마블 넥슨 제치고 첫 1위 넷마블 넥슨 제치고 게임 왕좌 등극 게임 투톱 사상 최고실적에도 주가 내리막 신작 돌파구 될까 13조 실적잔치 게임 포털 스몸비 는 나몰라라 넷마블 5년 만에 매출 10배 10년 만에 넥슨천하 종지부 매출 왕좌의 게임 넷마블 10년 만에 넥슨 꺾어 덩치 커진 넷마블 실속 챙긴 넥슨 게임 빅3 작년 매출 6조5천억 영업익도 2조 사상 최대 실적 넷마블 넥슨 10년 아성 깨고 매출 1위로 넥슨 게임업계 1위 자리 9년만에 넷마블에 내줘,0
급락장서 사들인 개미 오를 기미는 ICT기업 성장엔진은 콘텐츠 무한경쟁 예고,2
게임 3N 왕좌의 게임 작년 역대 최대실적 올렸다 외국인 조 팔면서도 싼 종목은 샀다 AI 게임 기술 개발 경쟁 뜨겁다 급락장서 조 베팅한 개미들 이번엔 줌인 이종목 엔씨소프트 1분기 영업익 전년대비 6배 뛸듯 하락장에 5조 사들인 개미,1
카카오게임즈 텐센트 등 5개 업체서 1400억 투자유치 카카오게임즈 1400억 투자유치 텐센트 넷마블 등 참여 카카오게임즈 텐센트 넷마블 등 5곳에서 1400억 투자 유치 카카오게임즈 1400억원 투자 유치 증시 투자 전략 IT주식 반등할 것 vs 미디어 게임주식 비중 늘려야 시각 엇갈리는 펀드매니저들 텐센트 넷마블 등서 카카오게임즈 1 400억원 유치 카카오게임즈 1400억 투자 유치 유상증자에 텐센트 넷마블 등 참여 게임수출 4조 시대 신시장 태국 정조준 카카오게임즈 1400억원 투자 유치,1
갑작스런 조정장 낙폭과대주 담아볼까 LS산전 한화테크윈 호텔신라 낙폭과대 실적 반등 주목 삼성전자 넷마블게임즈 저가 매수 기회 될 수도 게임업계 잇단 대규모 M A 플랫폼 콘텐츠 대세,2
글로벌 큰 손 텐센트 페이스북보다 시총 높아 원시시대로 돌아간 지구 야생 공룡 조련하며 문명에 맞서라 파죽지세 셀트리온 주가 31만원 돌파에도 목표가 40만원까지 나온 이유 게임왕좌 오른 넷마블 준대기업 지정되나,1
중견 게임사들 인기 원작 활용 신작 내놓는다 온라인게임 플레이시간 우상향 돌아온 봄날 손 담그는 대형사,2
학계 4N사 게임질병화 반대 공동전선 구축 나선다 다각도 검토 중,1
남궁훈 카카오게임즈 대표의 분식집 추위 안풀린 소비주 한국 게임 매출 절반 이상 빅3가 거뒀다,2
동네 치킨집 모바일 상품권 1시간이면 발행 가능합니다 카카오 고위 임원 줄퇴사 박성훈 CSO 넷마블 대표로 종합 새내기주 기관매물 폭탄 제약 바이오에 쏠렸다 예 적금 금리보다 높은 배당률 넷마블 엔씨 대박 동맹 3년만에 상호 지분투자 평가익 수천억 파월의 입 주목 지수보단 업종 종목 신경써야 게임 속으로 들어가 주인공이 된다 넥슨 체험형 방 탈출 카페 북적 넷마블 박성훈 신임 대표 내정 권영식 대표와 각자 대표 체제로 한국 울린 인디게임 스위치 타고 세계로 글로벌 유통채널 추가,1
넷마블게임즈 박성훈 신임대표 내정 넷마블 신임 대표에 박성훈 한국 IB대상에 한국투자증권 제9회 한국 IB대상 NH투자증권 현대중공업 증자 두산BW 발행 주관 ICT Science 넷마블게임즈 새 대표에 박성훈 카카오 CSO 넷마블 대표 박성훈씨 권영식씨와 공동대표 체제 갤러그 슈퍼마리오 살아있네 TV 힘입어 낚시 게임도 열풍 넥슨 사회공헌 재단 출범 어린이 청소년 지원 최우선 경제계 인사 넷마블게임즈 대표 박성훈씨,1
